Sehir,Firma,Fabrika,Arac_Tipi,Fiyat_TL_KG
ADANA,BAYKAN,TR16,KIRKAYAK,1.19
ADANA,BAYKAN,TR16,TIR,0.889
ADANA,CALISKAN,TR16,TIR,0.84
ADIYAMAN,BAYKAN,TR16,KIRKAYAK,2.235
ADIYAMAN,BAYKAN,TR16,TIR,1.844
ADIYAMAN,CALISKAN,TR16,TIR,1.55
AFYON,CALISKAN,TR16,TIR,2.52
AFYON,CALISKAN,TR14,TIR,1.88
AGRI,BAYKAN,TR16,KIRKAYAK,5.637
AGRI,BAYKAN,TR16,TIR,4.507
AGRI,CALISKAN,TR16,TIR,4.0
AGRI,CALISKAN,TR15,TIR,2.26
AKSARAY,BAYKAN,TR16,KIRKAYAK,1.652
AKSARAY,BAYKAN,TR16,TIR,1.332
AKSARAY,CALISKAN,TR16,TIR,1.34
AKSARAY,CALISKAN,TR15,TIR,3.31
ALANYA,BAYKAN,TR16,KIRKAYAK,2.43
ALANYA,BAYKAN,TR16,TIR,1.946
ALANYA,CALISKAN,TR16,TIR,1.77
AMASYA,BAYKAN,TR16,KIRKAYAK,3.013
AMASYA,BAYKAN,TR16,TIR,2.561
AMASYA,CALISKAN,TR16,TIR,2.79
AMASYA,CALISKAN,TR15,TIR,2.14
ANKARA,BAYKAN,TR16,KIRKAYAK,2.573
ANKARA,BAYKAN,TR16,TIR,2.163
ANKARA,CALISKAN,TR16,TIR,2.52
ANTALYA,BAYKAN,TR16,KIRKAYAK,3.887
ANTALYA,BAYKAN,TR16,TIR,3.037
ANTALYA,CALISKAN,TR16,TIR,2.9
ANTALYA,CALISKAN,TR14,TIR,2.88
ARDAHAN,BAYKAN,TR16,KIRKAYAK,5.248
ARDAHAN,BAYKAN,TR16,TIR,4.303
ARDAHAN,CALISKAN,TR16,TIR,3.96
ARDAHAN,CALISKAN,TR15,TIR,1.99
ARTVIN,BAYKAN,TR16,KIRKAYAK,5.248
ARTVIN,BAYKAN,TR16,TIR,4.303
ARTVIN,CALISKAN,TR16,TIR,3.76
ARTVIN,CALISKAN,TR15,TIR,1.39
AYDIN,BAYKAN,TR16,KIRKAYAK,2.818
AYDIN,BAYKAN,TR16,TIR,2.254
AYDIN,CALISKAN,TR16,TIR,3.44
AYDIN,CALISKAN,TR14,TIR,3.092
BALIKESİR,BAYKAN,TR16,KIRKAYAK,3.11
BALIKESİR,BAYKAN,TR16,TIR,2.581
BALIKESİR,CALISKAN,TR16,TIR,3.53
BALIKESİR,CALISKAN,TR14,TIR,1.77
BALIKESİR-BALYA,CALISKAN,TR14,TIR,1.88
BARTIN,BAYKAN,TR16,KIRKAYAK,2.818
BARTIN,BAYKAN,TR16,TIR,2.356
BARTIN,CALISKAN,TR16,TIR,3.01
BARTIN,CALISKAN,TR15,TIR,3.31
BARTIN,CALISKAN,TR14,TIR,1.61
BATMAN,BAYKAN,TR16,KIRKAYAK,3.207
BATMAN,BAYKAN,TR16,TIR,2.51
BATMAN,CALISKAN,TR16,TIR,2.64
BATMAN,CALISKAN,TR15,TIR,3.18
BAYBURT,BAYKAN,TR16,KIRKAYAK,3.401
BAYBURT,BAYKAN,TR16,TIR,2.766
BAYBURT,CALISKAN,TR16,TIR,3.4
BAYBURT,CALISKAN,TR15,TIR,0.87
BİLECİK,BAYKAN,TR16,KIRKAYAK,2.43
BİLECİK,BAYKAN,TR16,TIR,2.049
BİLECİK,CALISKAN,TR16,TIR,2.82
BİLECİK,CALISKAN,TR14,TIR,1.585
BİNGÖL,BAYKAN,TR16,KIRKAYAK,3.11
BİNGÖL,BAYKAN,TR16,TIR,2.456
BİNGÖL,CALISKAN,TR16,TIR,2.77
BİNGÖL,CALISKAN,TR15,TIR,2.14
BİNGÖL- SOLHAN,BAYKAN,TR16,KIRKAYAK,3.158
BİNGÖL- SOLHAN,BAYKAN,TR16,TIR,2.51
BİTLİS,BAYKAN,TR16,KIRKAYAK,3.69
BİTLİS,BAYKAN,TR16,TIR,2.898
BİTLİS,CALISKAN,TR16,TIR,3.12
BİTLİS,CALISKAN,TR15,TIR,2.75
BOLU,BAYKAN,TR16,KIRKAYAK,2.43
BOLU,BAYKAN,TR16,TIR,2.049
BOLU,CALISKAN,TR16,TIR,2.8
BOLU,CALISKAN,TR14,TIR,1.24
BURDUR,BAYKAN,TR16,KIRKAYAK,2.43
BURDUR,BAYKAN,TR16,TIR,2.049
BURDUR,CALISKAN,TR16,TIR,2.5
BURDUR,CALISKAN,TR14,TIR,2.639
BURSA,BAYKAN,TR16,KIRKAYAK,2.43
BURSA,BAYKAN,TR16,TIR,2.049
BURSA,CALISKAN,TR16,TIR,3.23
BURSA,CALISKAN,TR14,TIR,1.24
ÇANAKKALE,BAYKAN,TR16,KIRKAYAK,3.79
ÇANAKKALE,BAYKAN,TR16,TIR,3.073
ÇANAKKALE,CALISKAN,TR16,TIR,4.41
ÇANAKKALE,CALISKAN,TR14,TIR,2.351
ÇANKIRI,BAYKAN,TR16,KIRKAYAK,2.527
ÇANKIRI,BAYKAN,TR16,TIR,2.049
ÇANKIRI,CALISKAN,TR16,TIR,2.5
ÇANKIRI,CALISKAN,TR14,TIR,1.99
ÇORUM,BAYKAN,TR16,KIRKAYAK,2.627
ÇORUM,BAYKAN,TR16,TIR,2.049
ÇORUM,CALISKAN,TR16,TIR,2.5
ÇORUM,CALISKAN,TR15,TIR,2.26
DENİZLİ,BAYKAN,TR16,KIRKAYAK,2.915
DENİZLİ,BAYKAN,TR16,TIR,2.254
DENİZLİ,CALISKAN,TR16,TIR,2.9
DENİZLİ,CALISKAN,TR14,TIR,2.51
DİYARBAKIR,BAYKAN,TR16,KIRKAYAK,3.782
DİYARBAKIR,BAYKAN,TR16,TIR,2.603
DİYARBAKIR,CALISKAN,TR16,TIR,2.28
DİYARBAKIR,CALISKAN,TR15,TIR,2.75
DÜZCE,BAYKAN,TR16,KIRKAYAK,2.43
DÜZCE,BAYKAN,TR16,TIR,2.049
DÜZCE,CALISKAN,TR16,TIR,3.04
DÜZCE,CALISKAN,TR14,TIR,1.27
EDİRNE,BAYKAN,TR16,KIRKAYAK,3.79
EDİRNE,BAYKAN,TR16,TIR,3.073
EDİRNE,CALISKAN,TR16,TIR,4.78
EDİRNE,CALISKAN,TR14,TIR,1.77
ELAZIĞ,BAYKAN,TR16,KIRKAYAK,2.721
ELAZIĞ,BAYKAN,TR16,TIR,2.254
ELAZIĞ,CALISKAN,TR16,TIR,2.17
ELAZIĞ,CALISKAN,TR15,TIR,2.38
ERZİNCAN,BAYKAN,TR16,KIRKAYAK,3.897
ERZİNCAN,BAYKAN,TR16,TIR,3.004
ERZİNCAN,CALISKAN,TR16,TIR,3.13
ERZİNCAN,CALISKAN,TR15,TIR,1.51
ERZURUM,BAYKAN,TR16,KIRKAYAK,4.584
ERZURUM,BAYKAN,TR16,TIR,3.209
ERZURUM,CALISKAN,TR16,TIR,3.44
ERZURUM,CALISKAN,TR15,TIR,1.61
ESKİŞEHİR,BAYKAN,TR16,KIRKAYAK,2.43
ESKİŞEHİR,BAYKAN,TR16,TIR,2.049
ESKİŞEHİR,CALISKAN,TR16,TIR,2.69
ESKİŞEHİR,CALISKAN,TR14,TIR,1.61
GAZİANTEP,BAYKAN,TR16,KIRKAYAK,1.884
GAZİANTEP,BAYKAN,TR16,TIR,1.307
GAZİANTEP,CALISKAN,TR16,TIR,1.08
GİRESUN,BAYKAN,TR16,KIRKAYAK,4.373
GİRESUN,BAYKAN,TR16,TIR,3.585
GİRESUN,CALISKAN,TR16,TIR,3.66
GİRESUN,CALISKAN,TR15,TIR,1.13
GÜMÜŞHANE,BAYKAN,TR16,KIRKAYAK,3.596
GÜMÜŞHANE,BAYKAN,TR16,TIR,2.971
GÜMÜŞHANE,CALISKAN,TR16,TIR,3.31
GÜMÜŞHANE,CALISKAN,TR15,TIR,1.0
HAKKARİ,BAYKAN,TR16,KIRKAYAK,5.568
HAKKARİ,BAYKAN,TR16,TIR,4.524
HAKKARİ,CALISKAN,TR16,TIR,3.97
HAKKARİ,CALISKAN,TR15,TIR,4.26
HATAY,BAYKAN,TR16,KIRKAYAK,1.884
HATAY,BAYKAN,TR16,TIR,1.307
HATAY,CALISKAN,TR16,TIR,0.96
IĞDIR,BAYKAN,TR16,KIRKAYAK,4.859
IĞDIR,BAYKAN,TR16,TIR,4.098
IĞDIR,CALISKAN,TR16,TIR,3.74
IĞDIR,CALISKAN,TR15,TIR,2.63
ISPARTA,BAYKAN,TR16,KIRKAYAK,2.43
ISPARTA,BAYKAN,TR16,TIR,2.049
ISPARTA,CALISKAN,TR16,TIR,2.56
ISPARTA,CALISKAN,TR14,TIR,2.402
İSTANBUL ANADOLU,BAYKAN,TR16,KIRKAYAK,3.887
İSTANBUL ANADOLU,BAYKAN,TR16,TIR,3.073
İSTANBUL ANADOLU,CALISKAN,TR16,TIR,3.65
İSTANBUL ANADOLU,CALISKAN,TR14,TIR,1.001
İSTANBUL ASY.,CALISKAN,TR14,TIR,0.5
İSTANBUL AVRUPA,BAYKAN,TR16,KIRKAYAK,4.13
İSTANBUL AVRUPA,BAYKAN,TR16,TIR,3.329
İSTANBUL AVRUPA,CALISKAN,TR16,TIR,4.19
İSTANBUL AVRUPA,CALISKAN,TR14,TIR,1.0
İZMİR,BAYKAN,TR16,KIRKAYAK,3.79
İZMİR,BAYKAN,TR16,TIR,3.073
İZMİR,CALISKAN,TR16,TIR,3.49
İZMİR,CALISKAN,TR14,TIR,2.26
İZMİR-KOZA-KINIK,CALISKAN,TR14,TIR,1.89
KAHRAMANMARAŞ,BAYKAN,TR16,KIRKAYAK,1.864
KAHRAMANMARAŞ,BAYKAN,TR16,TIR,1.359
KARABÜK,BAYKAN,TR16,KIRKAYAK,2.43
KARABÜK,BAYKAN,TR16,TIR,2.049
KARABÜK,CALISKAN,TR16,TIR,2.99
KARABÜK,CALISKAN,TR14,TIR,1.77
KARABÜK,CALISKAN,TR15,TIR,3.26
KARAMAN,BAYKAN,TR16,KIRKAYAK,1.749
KARAMAN,BAYKAN,TR16,TIR,1.434
KARAMAN,CALISKAN,TR16,TIR,1.55
KARS,BAYKAN,TR16,KIRKAYAK,5.068
KARS,BAYKAN,TR16,TIR,4.098
KARS,CALISKAN,TR16,TIR,3.89
KARS,CALISKAN,TR15,TIR,2.14
KASTAMONU,BAYKAN,TR16,KIRKAYAK,2.43
KASTAMONU,BAYKAN,TR16,TIR,2.049
KASTAMONU,CALISKAN,TR16,TIR,2.9
KASTAMONU,CALISKAN,TR15,TIR,2.94
KASTAMONU-NEBİ-ERBOLU,CALISKAN,TR15,TIR,2.37
KASTAMONU-KÜRE-AZDAVAY-TAŞKÖPRU,CALISKAN,TR15,TIR,3.14
KAYSERİ,BAYKAN,TR16,KIRKAYAK,2.138
KAYSERİ,BAYKAN,TR16,TIR,1.741
KAYSERİ,CALISKAN,TR16,TIR,1.55
KAYSERİ- YAHYALI MADEN,BAYKAN,TR16,KIRKAYAK,2.138
KAYSERİ- YAHYALI MADEN,BAYKAN,TR16,TIR,1.741
KAYSERİ- YAHYALI MADEN,CALISKAN,TR16,TIR,1.34
KAYSERİ,CALISKAN,TR14,TIR,3.25
KIRIKKALE,BAYKAN,TR16,KIRKAYAK,2.138
KIRIKKALE,BAYKAN,TR16,TIR,1.793
KIRIKKALE,CALISKAN,TR16,TIR,2.41
KIRIKKALE,CALISKAN,TR14,TIR,1.99
KIRKLARELİ,CALISKAN,TR14,TIR,1.64
KIRŞEHİR,BAYKAN,TR16,KIRKAYAK,1.944
KIRŞEHİR,BAYKAN,TR16,TIR,1.537
KIRŞEHİR,CALISKAN,TR16,TIR,1.7
KIRŞEHİR,CALISKAN,TR14,TIR,2.63
KİLİS,BAYKAN,TR16,KIRKAYAK,1.604
KİLİS,BAYKAN,TR16,TIR,1.178
KİLİS,CALISKAN,TR16,TIR,1.34
KOCAELI,BAYKAN,TR16,KIRKAYAK,2.527
KOCAELI,BAYKAN,TR16,TIR,2.151
KOCAELI,CALISKAN,TR16,TIR,3.24
KOCAELI,CALISKAN,TR14,TIR,0.78
KONYA,BAYKAN,TR16,KIRKAYAK,2.138
KONYA,BAYKAN,TR16,TIR,1.741
KONYA,CALISKAN,TR16,TIR,1.55
KONYA,CALISKAN,TR14,TIR,3.02
KÜTAHYA,BAYKAN,TR16,KIRKAYAK,2.43
KÜTAHYA,BAYKAN,TR16,TIR,2.049
KÜTAHYA,CALISKAN,TR16,TIR,2.72
KÜTAHYA,CALISKAN,TR14,TIR,1.77
MALATYA,BAYKAN,TR16,KIRKAYAK,2.407
MALATYA,BAYKAN,TR16,TIR,1.625
MALATYA,CALISKAN,TR16,TIR,1.74
MALATYA,CALISKAN,TR15,TIR,2.63
MANİSA,BAYKAN,TR16,KIRKAYAK,3.401
MANİSA,BAYKAN,TR16,TIR,2.561
MANİSA,CALISKAN,TR16,TIR,3.44
MANİSA,CALISKAN,TR14,TIR,2.009
MANİSA ALAŞEHİR (YEDİGÖZE) PR,CALISKAN,TR14,TIR,2.803
MARDİN,BAYKAN,TR16,KIRKAYAK,3.11
MARDİN,BAYKAN,TR16,TIR,2.456
MARDİN,CALISKAN,TR16,TIR,2.52
MARDİN,CALISKAN,TR15,TIR,3.25
MERSİN,BAYKAN,TR16,KIRKAYAK,1.409
MERSİN,BAYKAN,TR16,TIR,1.178
MERSİN,CALISKAN,TR16,TIR,0.84
MERSİN,CALISKAN,TR14,TIR,3.699
MERSİN DOĞANÇAY BARAJI,BAYKAN,TR16,KIRKAYAK,1.493
MERSİN DOĞANÇAY BARAJI,BAYKAN,TR16,TIR,1.178
MERSİN ERDEMLI TÜNEL PROJESİ,BAYKAN,TR16,KIRKAYAK,1.604
MERSİN ERDEMLI TÜNEL PROJESİ,BAYKAN,TR16,TIR,1.281
MERSİN ERDEMLI TÜNEL PROJESİ,CALISKAN,TR16,TIR,0.84
MERSİN GÜLNAR AKKUYU ŞANTİYESİ,BAYKAN,TR16,KIRKAYAK,1.785
MERSİN GÜLNAR AKKUYU ŞANTİYESİ,BAYKAN,TR16,TIR,1.46
MERSİN GÜLNAR AKKUYU ŞANTİYESİ,CALISKAN,TR16,TIR,0.88
MERSİN SİLİFKE,BAYKAN,TR16,KIRKAYAK,1.604
MERSİN SİLİFKE,BAYKAN,TR16,TIR,1.332
MUĞLA,BAYKAN,TR16,KIRKAYAK,2.915
MUĞLA,BAYKAN,TR16,TIR,2.561
MUĞLA,CALISKAN,TR16,TIR,3.64
MUĞLA,CALISKAN,TR14,TIR,3.02
MUŞ,BAYKAN,TR16,KIRKAYAK,3.304
MUŞ,BAYKAN,TR16,TIR,2.766
MUŞ,CALISKAN,TR16,TIR,3.11
MUŞ,CALISKAN,TR15,TIR,2.38
NEVŞEHİR,BAYKAN,TR16,KIRKAYAK,1.944
NEVŞEHİR,BAYKAN,TR16,TIR,1.537
NEVŞEHİR,CALISKAN,TR16,TIR,1.42
NEVŞEHİR,CALISKAN,TR15,TIR,3.04
NİĞDE,BAYKAN,TR16,KIRKAYAK,1.361
NİĞDE,BAYKAN,TR16,TIR,1.076
NİĞDE,CALISKAN,TR16,TIR,1.08
NİĞDE,CALISKAN,TR14,TIR,2.93
ORDU,BAYKAN,TR16,KIRKAYAK,4.373
ORDU,BAYKAN,TR16,TIR,3.585
ORDU,CALISKAN,TR16,TIR,3.54
ORDU,CALISKAN,TR15,TIR,1.39
OSMANİYE,BAYKAN,TR16,KIRKAYAK,1.238
OSMANİYE,BAYKAN,TR16,TIR,0.974
OSMANİYE,CALISKAN,TR16,TIR,0.73
OSMANİYE,CALISKAN,TR14,TIR,1.591
OSMANİYE TREN PROJESİ,CALISKAN,TR14,TIR,1.324
RİZE,BAYKAN,TR16,KIRKAYAK,5.053
RİZE,BAYKAN,TR16,TIR,4.096
RİZE,CALISKAN,TR16,TIR,3.85
RİZE,CALISKAN,TR15,TIR,0.63
SAKARYA,BAYKAN,TR16,KIRKAYAK,2.43
SAKARYA,BAYKAN,TR16,TIR,2.049
SAKARYA,CALISKAN,TR16,TIR,3.32
SAKARYA,CALISKAN,TR14,TIR,1.004
SAMSUN,BAYKAN,TR16,KIRKAYAK,3.401
SAMSUN,BAYKAN,TR16,TIR,2.766
SAMSUN,CALISKAN,TR16,TIR,3.04
SAMSUN,CALISKAN,TR15,TIR,3.1
SİİRT,BAYKAN,TR16,KIRKAYAK,3.304
SİİRT,BAYKAN,TR16,TIR,2.561
SİİRT,CALISKAN,TR16,TIR,3.12
SİİRT,CALISKAN,TR15,TIR,2.25
SİNOP,BAYKAN,TR16,KIRKAYAK,2.915
SİNOP,BAYKAN,TR16,TIR,2.356
SİNOP,CALISKAN,TR16,TIR,3.42
SİNOP,CALISKAN,TR15,TIR,2.51
SİVAS,BAYKAN,TR16,KIRKAYAK,2.624
SİVAS,BAYKAN,TR16,TIR,2.254
SİVAS,CALISKAN,TR16,TIR,2.41
SİVAS,CALISKAN,TR15,TIR,1.99
SİVAS- DİVRİĞİ ÇİFTÇAY MADEN,BAYKAN,TR16,KIRKAYAK,2.975
SİVAS- DİVRİĞİ ÇİFTÇAY MADEN,BAYKAN,TR16,TIR,2.404
SİVAS- DİVRİĞİ ÇİFTÇAY MADEN,CALISKAN,TR16,TIR,2.44
ŞANLIURFA,BAYKAN,TR16,KIRKAYAK,1.944
ŞANLIURFA,BAYKAN,TR16,TIR,1.537
ŞANLIURFA,CALISKAN,TR16,TIR,1.55
ŞIRNAK,BAYKAN,TR16,KIRKAYAK,3.304
ŞIRNAK,BAYKAN,TR16,TIR,2.766
ŞIRNAK,CALISKAN,TR16,TIR,3.24
ŞIRNAK,CALISKAN,TR15,TIR,3.52
TEKİRDAĞ,BAYKAN,TR16,KIRKAYAK,3.79
TEKİRDAĞ,BAYKAN,TR16,TIR,3.073
TEKİRDAĞ,CALISKAN,TR16,TIR,3.73
TEKİRDAĞ,CALISKAN,TR14,TIR,1.766
TOKAT,BAYKAN,TR16,KIRKAYAK,2.818
TOKAT,BAYKAN,TR16,TIR,2.254
TOKAT,CALISKAN,TR16,TIR,2.7
TOKAT,CALISKAN,TR15,TIR,1.99
TRABZON,BAYKAN,TR16,KIRKAYAK,4.762
TRABZON,BAYKAN,TR16,TIR,3.095
TRABZON,CALISKAN,TR16,TIR,3.57
TRABZON,CALISKAN,TR15,TIR,0.5
TUNCELİ,BAYKAN,TR16,KIRKAYAK,2.43
TUNCELİ,BAYKAN,TR16,TIR,2.049
TUNCELİ,CALISKAN,TR16,TIR,2.68
TUNCELİ,CALISKAN,TR15,TIR,1.88
UŞAK,BAYKAN,TR16,KIRKAYAK,3.013
UŞAK,BAYKAN,TR16,TIR,2.459
UŞAK,CALISKAN,TR16,TIR,2.77
UŞAK,CALISKAN,TR14,TIR,2.14
VAN,BAYKAN,TR16,KIRKAYAK,5.539
VAN,BAYKAN,TR16,TIR,4.507
VAN,CALISKAN,TR16,TIR,3.74
VAN,CALISKAN,TR15,TIR,3.37
YALOVA,BAYKAN,TR16,KIRKAYAK,2.43
YALOVA,BAYKAN,TR16,TIR,2.049
YALOVA,CALISKAN,TR16,TIR,3.87
YALOVA,CALISKAN,TR14,TIR,1.192
YOZGAT,BAYKAN,TR16,KIRKAYAK,2.43
YOZGAT,BAYKAN,TR16,TIR,1.895
YOZGAT,CALISKAN,TR16,TIR,2.41
YOZGAT,CALISKAN,TR14,TIR,2.623
YOZGAT YERKÖY MADEN,BAYKAN,TR16,KIRKAYAK,2.624
YOZGAT YERKÖY MADEN,BAYKAN,TR16,TIR,2.049
YOZGAT YERKÖY MADEN,CALISKAN,TR16,TIR,2.17
ZONGULDAK,BAYKAN,TR16,KIRKAYAK,2.721
ZONGULDAK,BAYKAN,TR16,TIR,2.254
ZONGULDAK,CALISKAN,TR16,TIR,3.13
ZONGULDAK,CALISKAN,TR15,TIR,3.81
BİNGÖL- SOLHAN,CALISKAN,TR16,TIR,2.81
KAHRAMANMARAŞ,CALISKAN,TR16,TIR,1.19
MERSİN DOĞANÇAY BARAJI,CALISKAN,TR16,TIR,0.84
MERSİN SİLİFKE,CALISKAN,TR16,TIR,0.84
