Varis_Yeri,Cikis_Fabrikasi,Firma,Arac,Fiyat
ADANA,TR16,BAYKAN,TIR,0.88
ADANA,TR16,ÇALIŞKAN,TIR,0.84
DIYARBAKIR,TR16,BAYKAN,TIR,2.68
DIYARBAKIR,TR16,ÇALIŞKAN,TIR,2.26
DIYARBAKIR,TR14,ÇALIŞKAN,TIR,2.26
DIYARBAKIR,TR15,ÇALIŞKAN,TIR,2.75
BATMAN,TR16,BAYKAN,TIR,2.49
BATMAN,TR16,ÇALIŞKAN,TIR,2.63
TRABZON,TR15,ÇALIŞKAN,TIR,0.49
TRABZON,TR14,ÇALIŞKAN,TIR,3.94
TRABZON,TR16,BAYKAN,TIR,3.98
ISTANBUL,TR14,ÇALIŞKAN,TIR,0.99
ISTANBUL,TR16,BAYKAN,TIR,3.32
ANTALYA,TR16,BAYKAN,TIR,3.02
ANTALYA,TR14,ÇALIŞKAN,TIR,2.87
