Urun_Adi,Fabrika,NTS_Maliyet_TL,Kayit_Tarihi,Giris_Para_Birimi,Giris_Fiyat,Kur_USD,Kur_EUR,Kur_CHF,Kur_Tarihi
Sika Viscocrete Hi-Tech 2541,TR16,19.7436,,TL,19.7436,34.2497,37.5673,40.0389,2024-10-07
Sika Viscocrete PC-15 TR dökme KG,TR16,26.8969,,TL,26.8969,34.2497,37.5673,40.0389,2024-10-07
Sika Viscocrete PC-61 Dökme,TR16,20.3939,,TL,20.3939,34.2497,37.5673,40.0389,2024-10-07
SİKARAPİD-1,TR14,23.35,,TL,23.35,34.2137,37.4136,39.8942,2024-10-10
SikaControl-13 AER TR 1000kgKONT,TR16,5.4135,,TL,5.4135,34.2401,37.1289,39.62,2024-10-18
Plastocrete N TR  1000kgKONT,TR14,7.06,,TL,7.06,34.2401,37.1289,39.62,2024-10-18
Plastocrete N TR  Bidon,TR14,8.06,,TL,8.06,34.2401,37.1289,39.62,2024-10-18
Antisol E-200 TR 200kgV,TR14,20.42,,TL,20.42,34.2711,37.1142,39.6177,2024-10-30
Antisol E-200 TR 1000kgKONT,TR14,18.44,,TL,18.44,34.2711,37.1142,39.6177,2024-10-30
Antisol E-200 25 Kg PB,TR14,26.2775,,TL,26.2775,34.2711,37.1142,39.6177,2024-10-30
Sika Viscocrete Hi-Tech 5876,TR16,10.045,,TL,10.045,34.2711,37.1142,39.6177,2024-10-30
Sika Viscocrete Hi-Tech 5876,TR16,10.045,,TL,10.045,34.6417,36.6131,39.4124,2024-11-29
Sika Viscocrete Hi-Tech 5876,TR15,10.845,,TL,10.845,34.6417,36.6131,39.4124,2024-11-29
Sika Viscocrete Hi-Tech 51,TR16,13.1,,TL,13.1,34.6417,36.6131,39.4124,2024-11-29
Sika Viscocrete Hi-Tech 51,TR15,13.8,,TL,13.8,34.6417,36.6131,39.4124,2024-11-29
Sika Viscocrete Hi-Tech 6423,TR16,13.8,,TL,13.8,35.0698,36.479,39.1738,2024-12-19
Sika Viscocrete Hi-Tech 6423,TR16,13.63,,TL,13.63,35.0698,36.479,39.1738,2024-12-19
Sika Viscocrete Hi-Tech 6423,TR15,14.33,,TL,14.33,35.0698,36.479,39.1738,2024-12-19
Sikatard 930 dökmeKG,TR14,20.9668,,TL,20.9668,35.5823,36.7007,39.0614,2025-01-20
Sika Viscocrete Hi-Tech 6235,TR16,15.447,,TL,15.447,38.075,43.1786,46.7907,2025-04-15
Sika Viscocrete Hi-Tech 6235,TR15,16.35,,TL,16.35,38.075,43.1786,46.7907,2025-04-15
Sika Viscocrete Hi-Tech 6329,TR16,12.945,,TL,12.945,38.075,43.1786,46.7907,2025-04-15
Sika Viscocrete Hi-Tech 6329,TR16,12.945,2025-04-15 00:00:00,TL,12.945,38.075,43.1786,46.7907,2025-04-15
Sika Viscocrete Hi-Tech 6329,TR15,13.65,15.04.2025,TL,13.65,38.075,43.1786,46.7907,2025-04-15
